,Unnamed: 0,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
10,10,"36 sqm Fully Furnished Studio Condo Unit for Rent in Senta, Makati City","San Lorenzo, Makati",Metro Manila,Makati,San Lorenzo,"₱ 35,000",Monthly,1,1.0,36.0,Senta,4.04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
11,11,1BR Condo for Rent in Classica Tower Salcedo Village Makati,"Bel-Air, Makati",Metro Manila,Makati,Bel-Air,"₱ 45,000",Monthly,1,1.0,50.0,Classica Tower,4.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,12,Fully Furnished Studio for Rent in The Columns at Legazpi Village Makati,"Arnaiz Ave. cor Amorsolo St. San Lorenzo, Makati",Metro Manila,Makati,San Lorenzo,"₱ 35,000",Monthly,1,1.0,34.0,The Columns Legazpi Village,4.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,13,"Fully Furnished 1BR Unit with Parking for Rent in Kroma Tower, Makati City","San Lorenzo, Makati",Metro Manila,Makati,San Lorenzo,"₱ 65,000",Monthly,1,1.0,54.0,Kroma Tower,4.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14,14,Studio Unit for Rent in Antel Spa Residences Makati,"Philippines, 1209, Makati, Makati Ave Poblacion, Makati",Metro Manila,Makati,Poblacion,"₱ 25,000",Monthly,1,1.0,26.0,Antel Spa Suites,4.13,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15,"Lease / One bedroom unit in Brio Tower, Edsa Makati","Guadalupe Viejo, Makati",Metro Manila,Makati,Guadalupe Viejo,"₱ 30,000",Monthly,1,1.0,28.5,Brio Tower,3.76,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16,16,"3BR Unit (166 sqm) for Rent in Proscenium - Sakura Tower, Rockwell Makati, 228K","Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 228,000",Monthly,3,4.0,166.0,Proscenium,4.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
17,17,1 Bedroom for Rent in Signa Designer Residences Makati,"Valero Access Rd, Salcedo Village, Makati City Bel-Air, Makati",Metro Manila,Makati,Bel-Air,"₱ 55,000",Monthly,1,1.0,55.0,Signa Designer Residences,4.54,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
18,18,Furnished Studio for rent at the Lerato Tower Makati,"Philippines, Makati, Bel-Air, Malugay St Bel-Air, Makati",Metro Manila,Makati,Bel-Air,"₱ 35,000",,1,1.0,31.0,The Lerato,4.54,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
19,19,"20% Off! Edades Tower: Spacious, 2-Bedroom Unit for rent in Makati City","Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 150,000",Monthly,2,2.0,131.0,Edades Tower and Garden Villas,4.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,20,For Rent: Rada Regency Condominium 1 bedroom with Balcony,"100 Rada Street Legazpi Village, Makati",Metro Manila,Makati,Legazpi Village,"₱ 25,000",Monthly,1,1.0,42.0,Rada Regency Condominium,4.92,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0
21,21,For Rent Fully Furnished 4 Bedroom Penthouse at Milano Residences Makati,"Philippines, Makati, Poblacion, Kalayaan Ave Poblacion, Makati",Metro Manila,Makati,Poblacion,"₱ 300,000",Monthly,5,7.0,296.0,The Milano Residences,4.13,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
22,22,1BR Condo for Rent in BSA Mansion Makati,"Philippines, Makati, San Lorenzo, Benavidez Legazpi Village, Makati",Metro Manila,Makati,Legazpi Village,"₱ 45,000",Monthly,1,1.0,58.0,BSA Mansion,4.92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
23,23,"2 Bedroom Unit for Rent at Rockwell Center, Rockwell Makati","Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 160,000",Monthly,2,3.0,130.0,Edades Tower,4.4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,"1BR Loft (70 sqm) for Rent in Rockwell Center - One Rockwell East Tower, Makati","Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 60,000",Monthly,1,1.0,70.0,One Rockwell,4.4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,2 bedroom for rent in Makati,"Osmena Highway cor. Gen. Estrella St. Barangay Bangkal Makati City Bangkal, Makati",Metro Manila,Makati,Bangkal,"₱ 27,000",Monthly,2,2.0,58.0,South Star Plaza,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
26,26,"2 Bedroom Condo For Rent In Rockwell Makati City, 78sqm, Joya Lofts And Towers","Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 80,000",Monthly,2,2.0,78.0,Joya Lofts and Towers,4.4,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
27,27,"2BR Unit (118 sqm) for Rent in Proscenium- Lincoln Tower, Rockwell Makati","Rockwell, Makati",Metro Manila,Makati,Rockwell,"₱ 135,000",Monthly,2,3.0,118.0,Proscenium,4.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
