,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Listing,Location,Address1,Address2,Address3,Price,Arrangement,Num_Bedrm,Num_Bathrm,Area,Condominium,Neighborhood_Rating,Gymnasium,CCTV,Utility room,Indoor Pool,Air conditioning,Alarm System,Amphitheater,Balcony,Bar,Basement Parking,Billiards table,Broadband internet available,Built-in wardrobes,Business Center,Central air conditioning,Clinic,Club House,Drying Area,Elevators,Ensuite,Entertainment room,Fire exits,Fitness center,Floorboards,Function Room,Game Room,Gas heating,Gym,Health Club,Hydronic heating,Indoor spa,Indoor Tree House,Intercom,Jacuzzi,Laundry Area,Lobby,Lounge,Maids Room,Meeting rooms,Multi-Purpose Hall,Open fireplace,Pay TV access,Powder room,Reception Area,Sauna,Shower rooms,Sky lounge,Smoke detector,Social hall,Split-system heating,Study room,Theater,Wi-Fi,Daycare Center,Fire Alarm,Fire sprinkler system,Courtyard,Sauna.1,Library,Function area,Pond,Helipad,Open space,24-hour security,Drying area,Gazebos,Spa,Shops,Study area,Golf Area,Badminton court,Balcony.1,Basketball court,Carport,Clubhouse,Deck,Fully fenced,Garage,Garden,Gazebo,Health Club.1,Jacuzzi.1,Jogging path,Landscaped Garden,Multi-purpose lawn,Open car spaces,Outdoor spa,Parking lot,Parks,Playground,Pool bar,Remote garage,Secure parking,Shower rooms.1,Sports facilities,Swimming pool,Tennis court
10,10,10,10,Fully Furnished 2 BR Unit for Rent at Arista Place,"JP Rizal St. Santo Niño, Parañaque",Metro Manila,Parañaque,Santo Niño,"₱ 55,000",Monthly,2,0.0,70.0,Arista Place,"2.18
out of 5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,11,11,11,"2 Bed Rooms in Arista Place near Okada NAIA 1234, COD Pearl Plaza PITX","Alpha Bldg Arista Place, JP Rizal St. Santo Niño, Parañaque",Metro Manila,Parañaque,Santo Niño,"₱ 25,000",Monthly,2,1.0,59.0,Arista Place,"2.18
out of 5",0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
12,12,12,12,Azure Urban Resort Residences 2BR unit with parking,"Azure Urban Residences, Km, 16 West Service Road, Marcelo Ave, Parañaque, 1700 Metro Manila, Philippines Marcelo Green Village, Parañaque",Metro Manila,Parañaque,Marcelo Green Village,"₱ 35,000",Monthly,2,1.0,53.37,Azure Urban Resort Residences,"3.9
out of 5",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
13,13,13,13,Semi Furnished Brand New 1 Bedroom with Balcony facing Sunset,"SM Sucat San Dionisio, Parañaque",Metro Manila,Parañaque,San Dionisio,"₱ 16,000",,1,1.0,28.0,Field Residences,"4.92
out of 5",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
14,14,14,14,1 BR with balcony for rent at bayshore C-2 near Solaire and City of Dreams,"Tambo, Parañaque",Metro Manila,Parañaque,Tambo,"₱ 50,000",Monthly,1,1.0,42.0,Bayshore Residential Resort,"4.17
out of 5",0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
15,15,15,15,Azure Residences (St. Tropez Building) Studio type unit for rent!,"Philippines, Parañaque, Marcelo Green Village, South Superhighway West Service Rd Marcelo Green Village, Parañaque",Metro Manila,Parañaque,Marcelo Green Village,"₱ 25,000",Monthly,1,1.0,29.63,Azure Urban Resort Residences,"3.9
out of 5",1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
16,16,16,16,2 BR Semi Furnished Unit at Siena Park Residences Parañaque DMCI,"Sun Valley, Parañaque",Metro Manila,Parañaque,Sun Valley,"₱ 19,000",Monthly,2,1.0,55.0,Siena Park Residences,"4.24
out of 5",1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,17,17,17,"2 Bedroom Condo Fully Furnished for Rent Lions Park Condo in Bicutan, Paranaque","Sun Valley, Parañaque",Metro Manila,Parañaque,Sun Valley,"₱ 13,000",Monthly,2,1.0,42.0,Lions Park Residences,"4.24
out of 5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
18,18,18,18,For Rent: 2BR Condo at Lions Park Residences Paranaque,"Lions Park Residences Sta. Ana Drive, Sun Valley, Parañaque Sun Valley, Parañaque",Metro Manila,Parañaque,Sun Valley,"₱ 13,500",Monthly,2,1.0,42.0,Lions Park Residences,"4.24
out of 5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
19,19,19,19,Beautiful Deluxe Fully Furnished 1-Bedroom Condo unit w/WIFI,"Miami Tower Azure Urban Resort Residences Km. 16 West Service Road Marcelo Green Village, Parañaque",Metro Manila,Parañaque,Marcelo Green Village,"₱ 20,000",Monthly,1,1.0,29.0,Azure Urban Resort Residences,"3.9
out of 5",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0
20,20,20,20,Azure Resort Refreshing 1BR Fully Furnished Beachview Condo,"Marcelo Green Village, Parañaque",Metro Manila,Parañaque,Marcelo Green Village,"₱ 25,000",,1,1.0,38.0,Azure Urban Resort Residences,"3.9
out of 5",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1
